run_name,dataset,protocol,recording_id,measurement_id,gt_hr_bpm,predicted_hr_bpm,failure_type,gt_top1_bpm,gt_top1_power,gt_top2_bpm,gt_top2_power,gt_top3_bpm,gt_top3_power,prediction_top1_bpm,prediction_top1_power,prediction_top2_bpm,prediction_top2_power,prediction_top3_bpm,prediction_top3_power
UBFC_TO_PURE_CROSS,PURE,old,1001,0,90.0,90.0,correct,90.0,0.9999999999999999,82.5,0.5953785847455386,97.5,0.482255117896853,90.0,0.9999999999999999,97.5,0.39265338106035147,82.5,0.2890943841444516
UBFC_TO_PURE_CROSS,PURE,old,1001,1,90.0,90.0,correct,90.0,0.9999999999999998,82.5,0.13707662761196282,97.5,0.12985934582835787,90.0,1.0,97.5,0.09872100099120877,75.0,0.07131055802073205
UBFC_TO_PURE_CROSS,PURE,old,1001,2,90.0,90.0,correct,90.0,0.9999999999999999,75.0,0.06125500196418781,67.5,0.049376656745150016,90.0,1.0,97.5,0.05151627670117766,67.5,0.043762802657853594
UBFC_TO_PURE_CROSS,PURE,old,1001,3,90.0,90.0,correct,90.0,0.9999999999999998,97.5,0.19937673079750035,82.5,0.09463934848541528,90.0,1.0,97.5,0.07727432186869529,60.0,0.0463057562478313
UBFC_TO_PURE_CROSS,PURE,old,1001,4,90.0,90.0,correct,90.0,0.9999999999999998,82.5,0.7509882469701712,97.5,0.5717067238100628,90.0,0.9999999999999999,82.5,0.5269620979262485,97.5,0.4515451823899004
UBFC_TO_PURE_CROSS,PURE,old,1001,5,82.5,82.5,correct,82.5,0.9999999999999999,97.5,0.31825026649853216,90.0,0.277350888175891,82.5,1.0,90.0,0.11621591973298571,97.5,0.10530318200311027
UBFC_TO_PURE_CROSS,PURE,old,1001,6,82.5,82.5,correct,82.5,0.9999999999999998,97.5,0.10103303074172057,90.0,0.052795496801552995,82.5,1.0,97.5,0.10495713627254759,165.0,0.04566096752855851
UBFC_TO_PURE_CROSS,PURE,old,1001,7,82.5,82.5,correct,82.5,0.9999999999999999,90.0,0.02335834152409506,97.5,0.020446461365932304,82.5,1.0,165.0,0.02653992012612009,45.0,0.007059482040538807
UBFC_TO_PURE_CROSS,PURE,old,1001,8,82.5,82.5,correct,82.5,0.9999999999999999,90.0,0.03640125052070255,75.0,0.012880067098742126,82.5,1.0,165.0,0.04115364578344816,90.0,0.0062939438275912635
UBFC_TO_PURE_CROSS,PURE,old,1001,9,82.5,82.5,correct,82.5,0.9999999999999999,90.0,0.026664732283049736,75.0,0.020070387095603902,82.5,1.0,165.0,0.04068148059350684,90.0,0.02481735396572954
UBFC_TO_PURE_CROSS,PURE,old,1001,10,82.5,82.5,correct,82.5,0.9999999999999999,75.0,0.01962422778109971,97.5,0.012736126299084114,82.5,1.0,165.0,0.021163358887406874,45.0,0.018858774507122124
UBFC_TO_PURE_CROSS,PURE,old,1001,11,82.5,82.5,correct,82.5,0.9999999999999999,75.0,0.015305631578352345,97.5,0.009617250376317688,82.5,1.0,165.0,0.07502772258193055,75.0,0.0051342345898543204
UBFC_TO_PURE_CROSS,PURE,old,1001,12,82.5,82.5,correct,82.5,1.0,75.0,0.00972057378984339,90.0,0.003357674232080198,82.5,1.0,165.0,0.041508081460871156,60.0,0.0012312235417621968
UBFC_TO_PURE_CROSS,PURE,old,1001,13,82.5,82.5,correct,82.5,1.0,90.0,0.0046900128344237015,75.0,0.00453377382057349,82.5,1.0,165.0,0.06296244449620242,45.0,0.00389365033191537
UBFC_TO_PURE_CROSS,PURE,old,1001,14,82.5,82.5,correct,82.5,1.0,90.0,0.005319041740401399,67.5,0.0034219762690643777,82.5,1.0,165.0,0.08862672072350322,45.0,0.01994696510476145
UBFC_TO_PURE_CROSS,PURE,old,1001,15,82.5,82.5,correct,82.5,1.0,67.5,0.007676373293552909,97.5,0.0026380294145704683,82.5,1.0,165.0,0.04207837516916369,45.0,0.019420990017643896
UBFC_TO_PURE_CROSS,PURE,old,1001,16,82.5,82.5,correct,82.5,1.0,67.5,0.007670329659683517,97.5,0.005869073393214111,82.5,1.0,165.0,0.05711276557684219,90.0,0.0004913827040198676
